"","ASV_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Comment.on.genus","primary_lifestyle","secondary_lifestyle","Comment_on_lifestyle_template","Endophytic_interaction_capability_template","Plant_pathogenic_capacity_template","Decay_substrate_template","Decay_type_template","Aquatic_habitat_template","Animal_biotrophic_capacity_template","Specific_hosts","Growth_form_template","Fruitbody_type_template","Hymenium_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template","primary_photobiont","secondary_photobiont","Guild"
"ASV828","ASV828","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV829","ASV829","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum","telluricum","","soil_saprotroph","","","","","soil","","partly_aquatic","","","filamentous_mycelium","none","none","","","",NA,"Saprotroph"
"ASV830","ASV830","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnellula","fuscosanguinea","","wood_saprotroph","","","","","wood","","non-aquatic","","","filamentous_mycelium","apothecium_(hymenium_on_surface)","smooth","","","",NA,"Saprotroph"
"ASV831","ASV831","Fungi","Ascomycota","GS37","GS37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV832","ASV832","Fungi","Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV833","ASV833","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV834","ASV834","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","sarnyensis","","soil_saprotroph","root-associated","","root-associated","root-associated","roots,soil","chitinolytic","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","none","none","","","",NA,"Saprotroph"
"ASV835","ASV835","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Acrostalagmus","luteoalbus","","foliar_endophyte","litter_saprotroph","","foliar_endophyte","","leaf/fruit/seed","","partly_aquatic","","","filamentous_mycelium","none","none","","","",NA,"Symbiotroph"
"ASV836","ASV836","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV837","ASV837","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV838","ASV838","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV839","ASV839","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV840","ASV840","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV841","ASV841","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV842","ASV842","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella",NA,"","plant_pathogen","litter_saprotroph","hypervariable","","leaf/fruit/seed_pathogen","leaf/fruit/seed,roots,soil,animal_material","","partly_aquatic","animal_parasite","","filamentous_mycelium","","","","","",NA,"Pathotroph"
"ASV843","ASV843","Fungi","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Idriella",NA,"","litter_saprotroph","root_endophyte","","","","leaf/fruit/seed","","non-aquatic","","angiosperms","filamentous_mycelium","none","none","","","",NA,"Saprotroph"
"ASV844","ASV844","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
